RecordKey	LineNum	AccountCode	Address	BackOrder	BarCode	BaseEntry	BaseLine	BaseType	CommisionPercent	ConsumerSalesForecast	CorrInvAmountToDiffAcct	CorrInvAmountToStock	CorrectionInvoiceItem	CostingCode	CountryOrg	Currency	DeferredTax	DiscountPercent	DistributeExpense	ExciseAmount	Factor1	Factor2	Factor3	Factor4	FreeText	Height1	Height2	Height2Unit	Hight1Unit	ItemCode	ItemDescription	Lengh1	Lengh1Unit	Lengh2	Lengh2Unit	LineTotal	Price	PriceAfterVAT	ProjectCode	Quantity	Rate	RowTotalFC	SWW	SalesPersonCode	SerialNum	ShipDate	ShipToCode	ShippingMethod	SupplierCatNum	TaxCode	TaxLiable	TaxPercentagePerRow	TaxType	TransactionType	VatGroup	VendorNum	Volume	VolumeUnit	WarehouseCode	Weight1	Weight1Unit	Weight2	Weight2Unit	Width1	Width1Unit	Width2	Width2Unit
RecordKey	LineNum	AccountCode	Address	BackOrder	BarCode	BaseEntry	BaseLine	BaseType	CommisionPercent	ConsumerSalesForecast	CorrInvAmountToDiffAcct	CorrInvAmountToStock	CorrectionInvoiceItem	CostingCode	CountryOrg	Currency	DeferredTax	DiscountPercent	DistributeExpense	ExciseAmount	Factor1	Factor2	Factor3	Factor4	FreeText	Height1	Height2	Height2Unit	Hight1Unit	ItemCode	ItemDescription	Lengh1	Lengh1Unit	Lengh2	Lengh2Unit	LineTotal	Price	PriceAfterVAT	ProjectCode	Quantity	Rate	RowTotalFC	SWW	SalesPersonCode	SerialNum	ShipDate	ShipToCode	ShippingMethod	SupplierCatNum	TaxCode	TaxLiable	TaxPercentagePerRow	TaxType	TransactionType	VatGroup	VendorNum	Volume	VolumeUnit	WarehouseCode	Weight1	Weight1Unit	Weight2	Weight2Unit	Width1	Width1Unit	Width2	Width2Unit
20	1	400000												ROOM																						423.62								1
20	2	400000												ROOM																						282.33								1
20	3	400000												ROOM																						17.646								1
20	4	400000												ROOM																						235.275								1
21	0	400000												ROOM																						1417.518								1
21	1	400000												ROOM																						211.81								1
21	2	400000												ROOM																						195.519								1
21	3	400000												ROOM																						12.22								1
21	4	400000												ROOM																						162.933								1
22	0	400000												ROOM																						1417.518								1
22	1	400000												ROOM																						211.81								1
22	2	400000												ROOM																						195.519								1
22	3	400000												ROOM																						12.22								1
22	4	400000												ROOM																						162.933								1
23	0	400000												ROOM																						1417.518								1
23	1	400000												ROOM																						211.81								1
23	2	400000												ROOM																						195.519								1
23	3	400000												ROOM																						12.22								1
23	4	400000												ROOM																						162.933								1
24	0	400000												ROOM																						2531.983								1
24	1	400000												ROOM																						635.43								1
24	2	400000												ROOM																						380.09								1
24	3	400000												ROOM																						23.756								1
24	4	400000												ROOM																						316.741								1
25	0	400000												ROOM																						1091.652								1
25	1	400000												ROOM																						211.81								1
25	2	400000												ROOM																						156.415								1
25	3	400000												ROOM																						9.777								1
25	4	400000												ROOM																						130.346								1
26	0	400000												ROOM																						0								1
26	1	400000												ROOM																						0								1
26	2	400000												ROOM																						0								1
26	3	400000												ROOM																						0								1
26	4	400000												ROOM																						0								1
27	0	400000												ROOM																						0								1
27	1	400000												ROOM																						0								1
27	2	400000												ROOM																						0								1
27	3	400000												ROOM																						0								1
27	4	400000												ROOM																						0								1
28	0	400000												ROOM																						2020.372								1
28	1	400000												ROOM																						423.62								1
28	2	400000												ROOM																						293.279								1
28	3	400000												ROOM																						18.33								1
28	4	400000												ROOM																						244.399								1
29	0	400000												ROOM																						1417.518								1
29	1	400000												ROOM																						211.81								1
29	2	400000												ROOM																						195.519								1
29	3	400000												ROOM																						12.22								1
29	4	400000												ROOM																						162.933								1
30	0	400000												ROOM																						0								1
30	1	400000												ROOM																						0								1
30	2	400000												ROOM																						0								1
30	3	400000												ROOM																						0								1
30	4	400000												ROOM																						0								1
31	0	400000												ROOM																						1450.107								1
31	1	400000												ROOM																						423.62								1
31	2	400000												ROOM																						224.847								1
31	3	400000												ROOM																						14.053								1
31	4	400000												ROOM																						187.373								1
32	0	400000												ROOM																						1580.451								1
32	1	400000												ROOM																						211.81								1
32	2	400000												ROOM																						215.071								1
32	3	400000												ROOM																						13.442								1
32	4	400000												ROOM																						179.226								1
33	0	400000												ROOM																						1417.518								1
33	1	400000												ROOM																						211.81								1
33	2	400000												ROOM																						195.519								1
33	3	400000												ROOM																						12.22								1
33	4	400000												ROOM																						162.933								1
34	0	400000												ROOM																						12.22								1
34	1	400000												ROOM																						1.466								1
34	2	400000												ROOM																						1.222								1
34	3	400000												ROOM																						0.092								1
